Ward_id,Skilled_Labor_Availability,Unskilled_Labor_Availability,Avg_Wage_Skilled,Avg_Wage_Unskilled
1,624,2081,955,550
2,3105,4077,1250,680
3,2473,1826,1100,610
4,3524,1847,1350,710
5,1977,3803,1050,590
6,1198,9816,980,520
7,4918,2578,1450,740
8,4275,1154,1410,725
9,4372,7870,1150,630
10,1626,8262,995,540
11,675,4117,910,515
12,1865,5182,1020,580
13,2917,6848,1180,650
14,1970,1433,1280,690
15,4225,9542,1220,660
16,1722,8980,960,530
17,4844,3348,1430,730
18,2558,1138,1310,700
19,4289,9401,1190,640
20,1375,5509,940,525
21,2351,5854,1080,600
22,3648,7156,1240,670
23,1123,6543,930,520
24,1097,9495,950,535
25,4863,9498,1290,695
26,3716,8805,1210,655
27,685,6728,890,500
28,2295,8209,1060,595
29,2451,7095,1120,620
30,3848,6160,1260,685
31,1629,2157,1150,630
32,1330,8301,970,545
33,864,8386,920,510
34,2427,6633,1110,615
35,3598,8384,1230,665
36,762,6863,880,490
37,4618,2860,1420,735
38,2491,3466,1170,645
39,1579,2931,1040,585
40,922,4395,900,505
41,1323,1351,1200,650
42,4706,6564,1300,700
43,3372,4029,1270,690
44,2825,6902,1140,625
45,3457,4469,1290,695
46,2461,7135,1090,605
47,3785,4066,1330,715
48,715,3346,960,540
49,3047,5464,1200,650
50,1214,7236,925,515
51,4123,5811,1380,720
52,1890,8234,980,550
53,3345,4567,1250,670
54,4950,2310,1480,750
55,850,7123,910,510
56,2765,6032,1160,630
57,3987,3456,1350,710
58,1543,9012,950,530
59,4211,5123,1390,725
60,2056,7543,1050,590
61,3110,3987,1220,660
62,4589,6234,1310,700
63,1123,8876,930,520
64,2345,5432,1100,610
65,3789,2109,1360,715
66,987,7890,920,515
67,4678,4321,1420,730
68,2901,6789,1190,640
69,1456,9321,960,540
70,4100,3210,1380,720
71,2234,7100,1080,600
72,3567,4900,1280,690
73,4890,2800,1450,740
74,789,8100,890,500
75,2654,6400,1150,630
76,3900,3700,1340,710
77,1678,9600,970,545
78,4321,5500,1400,725
79,2109,7900,1060,595
80,3333,4800,1260,680
81,4789,2500,1460,745
82,1023,8500,940,525
83,2500,6800,1130,620
84,3678,4200,1300,700
85,4999,2200,1490,755
86,901,8900,915,510
87,2876,6100,1180,640
88,3990,3500,1370,715
89,1789,9200,990,555
90,4432,5800,1410,728
91,2010,7400,1040,580
92,3210,4600,1240,670
93,4654,2900,1440,735
94,1234,8300,955,535
95,2456,6600,1120,615
96,3780,4000,1320,705
97,4910,2400,1470,750
98,854,8700,905,505
99,2789,6200,1170,635
100,3888,3800,1360,712
101,1500,9100,965,540
102,4234,5300,1395,722
103,2300,7000,1090,605
104,3400,4400,1275,690
105,4700,2700,1455,742
106,1300,8400,945,528
107,2600,6500,1145,628
108,3700,4100,1315,702
109,4950,2300,1485,752
110,800,8800,895,502
111,2900,6000,1195,648
112,3800,3900,1355,712
113,1700,9400,985,552
114,4300,5600,1405,728
115,2200,7200,1075,598
116,3300,4700,1265,688
117,4600,3000,1445,738
118,1400,8600,962,542
119,2700,6300,1162,632
120,3600,4300,1305,700
121,4800,2600,1465,748
122,1000,8200,922,518
123,2800,6100,1182,642
124,3900,3700,1365,718
125,1800,9000,992,558
126,4400,5400,1415,732
127,2100,7500,1055,592
128,3200,4500,1255,678
129,4500,3200,1435,732
130,1600,8500,972,548
131,2500,6700,1135,622
132,3500,4200,1295,698
133,4900,2400,1475,750
134,950,8900,912,508
135,2400,6900,1115,612
136,3450,4000,1285,692
137,4750,2800,1460,745
138,1150,8300,935,522
139,2650,6400,1155,628
140,3750,4150,1325,708
141,4850,2550,1470,749
142,1050,8650,928,518
143,2950,5950,1198,648
144,3650,4250,1310,702
145,4650,3050,1450,740
146,1250,8450,948,532
147,2750,6250,1172,638
148,3850,3850,1350,710
149,4950,2450,1480,751
150,850,8750,902,504
151,3000,5800,1205,652
152,4000,3600,1375,720
153,1900,9250,1002,562
154,4550,5200,1425,734
155,2050,7350,1048,588
156,3150,4650,1248,674
157,4450,3350,1428,734
158,1650,8550,978,549
159,2550,6750,1138,624
160,3550,4250,1298,699
161,4850,2550,1472,750
162,970,8850,918,514
163,2450,6850,1128,618
164,3400,4100,1282,694
165,4700,2900,1458,744
166,1180,8250,938,524
167,2680,6350,1168,634
168,3780,4050,1328,709
169,4880,2650,1478,754
170,1080,8550,929,519
171,2980,5900,1202,651
172,3680,4300,1314,704
173,4680,3100,1454,741
174,1280,8400,951,534
175,2780,6200,1174,639
176,3880,3900,1354,711
177,4980,2500,1484,753
178,880,8700,904,506
179,3050,5700,1211,656
180,4050,3700,1381,721
181,1950,9150,1008,564
182,4500,5250,1422,733
183,2080,7450,1051,591
184,3180,4750,1251,676
185,4480,3450,1431,736
186,1680,8650,981,551
187,2580,6800,1141,626
188,3580,4350,1301,701
189,4820,2600,1468,749
190,990,8950,921,516
191,2480,6950,1131,621
192,3480,4150,1288,696
193,4780,2950,1464,746
194,1100,8350,931,521
195,2600,6450,1161,631
196,3700,4000,1321,706
197,4900,2700,1481,752
198,1200,8150,941,526
